lcd_id,retire_dt
34011,2025-06-26 00:00:00
38787,2025-08-14 14:25:54.397000000
39647,2025-06-27 08:55:01.697000000
39657,2025-07-08 07:45:40.147000000
39667,2025-12-05 21:45:14.403000000
39668,2025-11-13 12:08:57.657000000
39677,2025-07-01 14:24:11.410000000
39679,2025-07-01 14:28:12.607000000
39685,2025-06-28 10:52:56.513000000
39687,2025-06-28 10:55:58.617000000
39708,2025-07-16 09:45:47.773000000
39710,2025-07-16 09:48:16.670000000
39755,2025-10-18 10:28:38.470000000
39759,2025-11-01 22:56:51.697000000
39763,2025-11-01 22:57:09.630000000
39777,2025-07-05 13:59:11.917000000
39796,2025-10-30 11:00:55.610000000
39800,2025-08-19 17:27:49.980000000
39801,2025-11-11 15:32:20.047000000
39805,2025-10-28 10:36:30.990000000
39809,2025-11-20 16:35:42.563000000
39811,2025-11-20 16:35:58.793000000
39820,2025-08-16 15:14:06.067000000
39823,2025-10-24 11:11:04.927000000
39826,2025-08-19 13:10:29.740000000
39827,2025-11-04 17:06:55.133000000
39831,2025-12-31 06:51:57.820000000
39839,2025-08-30 07:44:57.020000000
39843,2025-08-20 15:58:00.723000000
39844,2025-08-19 13:39:53.387000000
39845,2025-08-19 13:40:06.977000000
39848,2025-07-30 08:34:19.200000000
39850,2025-09-04 13:30:09.027000000
39852,2025-07-30 10:03:54.407000000
39862,2025-09-06 12:02:16.767000000
39864,2025-11-06 08:40:34.777000000
39870,2025-11-07 08:42:39.693000000
39873,2025-08-19 18:15:09.643000000
39876,2025-10-02 11:36:50.560000000
39878,2025-09-26 15:30:21.883000000
39880,2025-09-18 14:36:58.103000000
39882,2025-09-18 14:37:12.117000000
39903,2026-01-13 12:30:18.687000000
39904,2025-08-14 11:38:20.897000000
39906,2025-09-18 09:50:57.970000000
39910,2025-08-14 11:31:26.373000000
39912,2025-09-26 08:41:18.743000000
39914,2025-08-14 11:35:05.463000000
39915,2025-11-21 11:04:50.600000000
39918,2026-05-29 17:14:06.377000000
39920,2026-04-08 12:00:41.650000000
39921,2026-04-08 12:01:02.413000000
39922,2026-06-03 11:25:35.733000000
39926,2026-06-03 11:25:51.863000000
39928,2025-10-30 10:51:29.687000000
39931,2025-10-29 10:22:42.087000000
39932,2026-04-17 14:43:32.080000000
39934,2026-04-09 14:04:37.487000000
39937,2026-04-18 16:21:31.197000000
39939,2026-04-10 15:59:08.013000000
39941,2026-01-02 11:17:21.987000000
39943,2026-05-01 13:53:03.477000000
39945,2026-05-01 13:53:36.090000000
39947,2026-04-25 11:26:18.247000000
39949,2026-04-25 11:26:33.673000000
39955,2025-10-28 13:59:48.783000000
39957,2026-01-06 12:55:44.540000000
39959,2026-01-07 11:10:20.187000000
39961,2026-01-07 11:10:40.153000000
39963,2025-12-29 18:51:57.507000000
39978,2026-01-13 14:34:12.203000000
39981,2025-11-21 13:22:43.017000000
39982,2025-11-21 13:23:07.583000000
39983,2026-02-06 08:44:47.637000000
39986,2026-05-28 12:20:33.780000000
39988,2026-05-28 13:25:00.623000000
39994,2025-12-28 16:41:21.043000000
39996,2026-02-13 11:05:20.790000000
40001,2025-12-18 13:36:19.397000000
40003,2025-12-06 12:49:37.283000000
40013,2025-08-28 19:50:30.550000000
40016,2026-03-25 14:00:03.063000000
40031,2026-04-22 11:38:22.757000000
40045,2026-05-19 09:48:01.313000000
40055,2026-05-21 09:39:45.760000000
