lcd_id,lcd_version,synopsis_changes_field_id,last_updated
38787,7,2,2023-10-02 13:11:14.403000000
38787,7,4,2023-10-02 13:11:14.407000000
39122,3,2,2021-09-22 16:59:29.253000000
39122,3,4,2021-09-22 16:59:29.253000000
39800,7,2,2024-05-21 10:06:01.507000000
39800,7,7,2024-05-21 10:06:01.510000000
39820,11,2,2024-09-27 16:35:58.217000000
39826,5,2,2024-05-21 10:43:07.123000000
39843,4,2,2024-05-20 14:27:03.713000000
39843,4,7,2024-05-20 14:27:03.717000000
39843,4,8,2024-05-20 14:27:03.720000000
39873,7,2,2024-06-19 15:56:17.587000000
39873,7,4,2024-06-19 15:56:17.590000000
39914,3,2,2024-10-03 15:15:35.903000000
39915,5,2,2024-09-27 16:35:58.220000000
39928,5,2,2024-09-27 16:35:58.237000000
39931,4,2,2024-09-27 16:35:58.227000000
39931,4,8,2024-09-27 16:35:58.230000000
40016,43,2,2024-10-17 00:00:00
40025,8,2,2024-10-17 00:00:00
40031,3,1,2025-01-31 15:46:27.300000000
40031,3,2,2025-01-31 15:46:27.310000000
40031,3,3,2025-01-31 15:46:27.317000000
40031,3,4,2025-01-31 15:46:27.327000000
40173,4,2,2025-05-06 21:56:49.050000000
40174,4,2,2025-05-06 21:58:06.313000000
40180,6,2,2025-05-05 11:33:15.003000000
40180,6,4,2025-05-05 11:33:15.007000000
40181,8,2,2025-05-07 22:47:09.110000000
40181,8,4,2025-05-07 22:47:09.113000000
40194,3,2,2025-05-19 19:49:47.037000000
40195,3,2,2025-05-20 15:03:31.780000000
